satisfaction_level,last_evaluation,number_of_projects,average_monthly_hours,years_at_company,work_accident,left,promotion_last_5years,department,test,salary
0.45,0.49,2,149,3,0,1,0,product_mng,0.006577181,high
0.09,0.85,6,289,4,0,1,0,hr,0.017647059,high
0.44,0.51,2,156,3,0,1,0,technical,0.006538462,high
0.45,0.53,2,129,3,0,1,0,technical,0.008217054,high
0.37,0.46,2,149,3,0,1,0,marketing,0.006174497,high
0.1,0.86,6,278,4,0,1,0,technical,0.018561151,high
0.36,0.48,2,156,3,0,1,0,accounting,0.006153846,high
0.4,0.46,2,143,3,0,1,0,technical,0.006433566,high
0.8,0.53,3,255,5,0,1,0,technical,0.006235294,high
0.66,0.57,5,161,5,0,1,0,technical,0.017701863,high
0.45,0.54,2,129,3,0,1,0,marketing,0.008372093,high
0.39,0.55,2,159,3,0,1,0,technical,0.006918239,high
0.45,0.57,2,148,3,0,1,0,marketing,0.007702703,high
0.43,0.55,2,130,3,0,1,0,support,0.008461538,high
0.1,0.81,7,291,4,0,1,0,sales,0.019484536,high
0.83,0.99,5,258,5,0,1,0,support,0.019186047,high
0.38,0.5,2,152,3,0,1,0,sales,0.006578947,high
0.15,0.55,6,139,4,0,1,0,support,0.023741007,high
0.82,0.89,5,217,5,0,1,0,sales,0.020506912,high
0.75,0.86,5,237,5,0,1,0,support,0.01814346,high
0.32,0.58,5,271,5,0,1,0,sales,0.010701107,high
0.41,0.48,2,130,3,0,1,0,support,0.007384615,high
0.87,0.9,4,256,5,0,1,0,sales,0.0140625,high
0.37,0.49,2,151,3,0,1,0,technical,0.006490066,high
0.9,0.86,5,254,5,0,1,0,sales,0.016929134,high
0.39,0.57,2,158,3,0,1,0,technical,0.00721519,high
0.11,0.93,7,288,4,0,1,0,sales,0.022604167,high
0.42,0.97,6,259,4,0,1,0,management,0.022471042,high
0.1,0.85,6,297,5,0,1,0,sales,0.017171717,high
0.75,0.88,5,270,5,0,1,0,IT,0.016296296,high
0.1,0.86,6,306,4,0,1,0,sales,0.016862745,high
0.46,0.46,2,145,3,0,1,0,IT,0.006344828,high
0.39,0.55,2,156,3,0,1,0,sales,0.007051282,high
0.4,0.53,2,155,3,0,1,0,IT,0.00683871,high
0.79,0.95,5,228,5,0,1,0,sales,0.020833333,high
0.72,0.99,5,257,5,0,1,0,IT,0.0192607,high
0.9,0.83,4,266,5,0,1,0,sales,0.012481203,high
0.1,0.87,6,307,4,0,1,0,product_mng,0.017003257,high
0.42,0.5,2,128,3,0,1,0,accounting,0.0078125,high
0.42,0.54,2,143,3,0,1,0,product_mng,0.007552448,high
0.11,0.97,6,254,4,0,1,0,accounting,0.022913386,high
0.09,0.91,6,243,4,0,1,0,product_mng,0.022469136,high
0.42,0.48,2,146,3,0,1,0,hr,0.006575342,high
0.1,0.95,5,286,4,0,1,0,RandD,0.016608392,high
0.45,0.46,2,159,3,0,1,0,hr,0.005786164,high
0.43,0.49,2,131,3,0,1,0,RandD,0.007480916,high
0.76,0.89,5,238,5,0,1,0,technical,0.018697479,high
0.43,0.48,2,136,3,0,1,0,RandD,0.007058824,high
0.75,0.7,4,144,4,0,0,0,technical,0.019444444,high
0.82,0.65,4,148,3,0,0,0,sales,0.017567568,high
0.56,0.94,4,215,2,0,0,0,technical,0.017488372,high
0.71,0.76,5,172,2,1,0,0,support,0.022093023,high
0.21,0.82,4,207,5,0,0,0,technical,0.015845411,high
0.56,0.97,5,163,2,0,0,0,management,0.029754601,high
0.95,0.69,3,225,2,0,0,0,technical,0.0092,high
1,0.86,4,161,2,0,0,0,marketing,0.02136646,high
0.79,0.5,5,176,3,0,0,0,support,0.014204545,high
0.38,0.69,3,99,3,1,0,0,sales,0.020909091,high
0.67,0.5,4,173,2,1,0,0,support,0.011560694,high
0.77,0.71,4,223,3,0,0,0,sales,0.012735426,high
0.69,0.64,5,265,2,1,0,0,support,0.012075472,high
0.71,0.63,3,254,3,1,0,0,sales,0.007440945,high
0.21,0.9,4,271,6,0,0,0,support,0.013284133,high
0.5,0.65,5,242,3,0,0,0,sales,0.013429752,high
0.78,0.89,3,253,3,0,0,0,support,0.01055336,high
0.63,0.5,3,140,2,0,0,0,sales,0.010714286,high
0.68,0.48,4,251,4,0,0,0,support,0.007649402,high
0.84,0.99,2,184,2,0,0,0,sales,0.01076087,high
0.8,0.85,5,242,3,0,0,0,support,0.017561983,high
0.13,0.69,4,127,4,0,0,0,sales,0.021732283,high
0.65,0.84,3,154,3,0,0,0,support,0.016363636,high
0.5,0.79,3,186,3,0,0,0,sales,0.012741935,high
0.38,0.77,2,170,3,0,0,0,technical,0.009058824,high
0.72,0.47,5,168,6,0,0,0,sales,0.013988095,high
0.71,0.77,3,145,3,0,0,0,technical,0.015931034,high
0.46,0.57,4,275,3,0,0,0,sales,0.008290909,high
0.3,0.64,2,137,3,0,0,0,management,0.009343066,high
0.21,0.44,4,163,6,0,0,0,sales,0.010797546,high
0.49,0.76,5,237,3,0,0,0,IT,0.016033755,high
0.49,0.58,5,186,2,0,0,0,IT,0.015591398,high
0.57,0.65,5,177,2,0,0,0,IT,0.018361582,high
0.89,0.81,4,228,4,0,0,0,IT,0.014210526,high
0.66,0.59,3,204,3,0,0,0,product_mng,0.008676471,high
0.94,0.77,5,210,3,0,0,0,product_mng,0.018333333,high
0.98,0.95,4,250,2,1,0,0,product_mng,0.0152,high
0.18,0.52,5,185,6,0,0,0,product_mng,0.014054054,high
0.57,0.73,3,146,3,0,0,0,IT,0.015,high
0.67,0.55,3,217,2,0,0,0,RandD,0.007603687,high
0.12,0.61,6,172,6,0,0,0,RandD,0.02127907,high
